Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang,_id
2024-03-07_02:44:14,2024-03-07,02:44:14,102.21595764160156,20.0,106.20487976074219,261.3,108.81998443603516,138.2,87176.65625,0,87644.5234375,239.6,86722.7734375,119.6,6.181,-2.55,96.05158112237798,-16.064637226867113,-81.12268668292677,34.95991648275105,-104.98287439274493,72.53205303865752,87176.65625,-44351.08809968369,-42836.0085870801,0.0,-75594.5994959996,-75594.5994959996,(96.05158112237798+34.95991648275105j),(-16.064637226867113-104.98287439274493j),(-81.12268668292677+72.53205303865752j),(87176.65625+0j),(-44351.08809968369-75594.5994959996j),(-42836.0085870801+75405.01177653615j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c78e5e40751e4a508a3b
2024-03-07_02:44:25,2024-03-07,02:44:25,101.86180114746094,19.8,106.72261810302734,260.9,109.22870635986328,138.1,87170.7109375,0,87639.4765625,239.6,86706.734375,119.6,6.181,-2.55,95.83980979068545,-16.87904301151317,-81.30018732353851,34.504454673130354,-105.37938660753396,72.94648609910409,87170.7109375,-44348.53421053039,-42828.08622261059,0.0,-75590.24649732532,-75590.24649732532,(95.83980979068545+34.504454673130354j),(-16.87904301151317-105.37938660753396j),(-81.30018732353851+72.94648609910409j),(87170.7109375+0j),(-44348.53421053039-75590.24649732532j),(-42828.08622261059+75391.06589301839j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7995e40751e4a508a3c
2024-03-07_02:44:36,2024-03-07,02:44:36,102.88980865478516,19.8,105.53824615478516,260.8,107.99034881591797,138.2,87192.8828125,0,87659.3515625,239.6,86726.21875,119.6,6.181,-2.55,96.80704228466738,-16.87358014214027,-80.5042132396474,34.85267979815791,-104.18063013158825,71.97907395937388,87192.8828125,-44358.5916315923,-42837.71037116731,0.0,-75607.38895650081,-75607.38895650081,(96.80704228466738+34.85267979815791j),(-16.87358014214027-104.18063013158825j),(-80.5042132396474+71.97907395937388j),(87192.8828125+0j),(-44358.5916315923-75607.38895650081j),(-42837.71037116731+75408.00745828546j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7a45e40751e4a508a3d
2024-03-07_02:44:47,2024-03-07,02:44:47,102.31864166259766,20.0,107.20838165283203,260.5,109.5208511352539,137.7,87175.5,0,87639.15625,239.6,86715.359375,119.6,6.181,-2.55,96.14807253918063,-17.694486719997688,-81.00502704815713,34.99503648632939,-105.73808318829653,73.70890330426698,87175.5,-44348.37212159032,-42832.34647120988,0.0,-75589.97022341566,-75589.97022341566,(96.14807253918063+34.99503648632939j),(-17.694486719997688-105.73808318829653j),(-81.00502704815713+73.70890330426698j),(87175.5+0j),(-44348.37212159032-75589.97022341566j),(-42832.34647120988+75398.56528678536j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7af5e40751e4a508a3e
2024-03-07_02:44:57,2024-03-07,02:44:57,101.78994750976562,20.0,107.09235382080078,261.0,109.56128692626953,138.2,87165.1484375,0,87627.78125,239.6,86714.9140625,119.6,6.181,-2.55,95.65126254511172,-16.752935079856112,-81.67530989790164,34.814212436402336,-105.77386923569408,73.02615521867551,87165.1484375,-44342.615987523444,-42832.12651272241,0.0,-75580.15913042842,-75580.15913042842,(95.65126254511172+34.814212436402336j),(-16.752935079856112-105.77386923569408j),(-81.67530989790164+73.02615521867551j),(87165.1484375+0j),(-44342.615987523444-75580.15913042842j),(-42832.12651272241+75398.17808982458j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7b95e40751e4a508a3f
2024-03-07_02:45:08,2024-03-07,02:45:08,101.06085205078125,20.1,105.22454071044922,261.3,107.51881408691406,138.1,87179.65625,0,87655.0703125,239.6,86730.8203125,119.6,6.181,-2.55,94.90566527268247,-15.916350337999418,-80.02749476197098,34.73054155033362,-104.0138152345305,71.80456437288022,87179.65625,-44356.425174539654,-42839.983275537765,0.0,-75603.69631985451,-75603.69631985451,(94.90566527268247+34.73054155033362j),(-15.916350337999418-104.0138152345305j),(-80.02749476197098+71.80456437288022j),(87179.65625+0j),(-44356.425174539654-75603.69631985451j),(-42839.983275537765+75412.00849354701j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7c45e40751e4a508a40
2024-03-07_02:45:19,2024-03-07,02:45:19,100.1343994140625,19.3,105.301025390625,260.8,109.10489654541016,137.7,87164.1875,0,87630.0859375,239.6,86711.90625,119.6,6.181,-2.55,94.50694145320736,-16.83565300462118,-80.69737409940961,33.09586021204219,-103.94646091245743,73.42896066025031,87164.1875,-44343.78223721419,-42830.640828201824,0.0,-75582.14695490043,-75582.14695490043,(94.50694145320736+33.09586021204219j),(-16.83565300462118-103.94646091245743j),(-80.69737409940961+73.42896066025031j),(87164.1875+0j),(-44343.78223721419-75582.14695490043j),(-42830.640828201824+75395.56281210692j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7cf5e40751e4a508a41
2024-03-07_02:45:30,2024-03-07,02:45:30,102.20296478271484,19.9,107.03474426269531,260.8,109.30767059326172,137.8,87189.109375,0,87645.7421875,239.6,86732.3515625,119.6,6.181,-2.55,96.10023433045075,-17.11284203701153,-80.9756247848863,34.78779918318068,-105.65787768451948,73.42421290842906,87189.109375,-44351.70482833371,-42840.73962402098,0.0,-75595.65068453395,-75595.65068453395,(96.10023433045075+34.78779918318068j),(-17.11284203701153-105.65787768451948j),(-80.9756247848863+73.42421290842906j),(87189.109375+0j),(-44351.70482833371-75595.65068453395j),(-42840.73962402098+75413.33990765782j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7da5e40751e4a508a42
2024-03-07_02:45:40,2024-03-07,02:45:40,100.67427062988281,19.7,107.2625961303711,260.7,109.50220489501953,138.0,87175.6875,0,87636.21875,239.6,86714.9765625,119.6,6.181,-2.55,94.78186041847032,-17.334045396134552,-81.37599694609915,33.93681927453565,-105.85270614789141,73.27127675903637,87175.6875,-44346.88564740822,-42832.15738408908,0.0,-75587.43658951235,-75587.43658951235,(94.78186041847032+33.93681927453565j),(-17.334045396134552-105.85270614789141j),(-81.37599694609915+73.27127675903637j),(87175.6875+0j),(-44346.88564740822-75587.43658951235j),(-42832.15738408908+75398.23243325767j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7e45e40751e4a508a43
2024-03-07_02:45:51,2024-03-07,02:45:51,103.26544189453125,19.9,107.68578338623047,261.1,110.35896301269531,138.1,87169.6171875,0,87625.2265625,239.6,86698.421875,119.6,6.181,-2.55,97.09926894391202,-16.660109146644498,-82.14145040044598,35.14944466461241,-106.38923209953178,73.70130828790306,87169.6171875,-44341.323229391666,-42823.980330844606,0.0,-75577.95567753911,-75577.95567753911,(97.09926894391202+35.14944466461241j),(-16.660109146644498-106.38923209953178j),(-82.14145040044598+73.70130828790306j),(87169.6171875+0j),(-44341.323229391666-75577.95567753911j),(-42823.980330844606+75383.83821641687j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65e8c7ef5e40751e4a508a44
