Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang,_id
2024-03-11_00:06:09,2024-03-11,00:06:09,111.47000885009766,0,116.2003402709961,0,117.75016784667969,0,87266.1796875,0,87833.5390625,0,86911.46875,0,6.181,-2.55,111.47000885009766,116.2003402709961,117.75016784667969,0.0,0.0,0.0,87266.1796875,87833.5390625,86911.46875,0.0,0.0,0.0,(111.47000885009766+0j),(116.2003402709961+0j),(117.75016784667969+0j),(87266.1796875+0j),(87833.5390625+0j),(86911.46875+0j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede881163bcc2f9b592340
2024-03-11_00:06:10,2024-03-11,00:06:10,111.47000885009766,19.3,116.2003402709961,260.4,117.75016784667969,137.4,87266.1796875,0,87833.5390625,239.6,86911.46875,119.5,6.181,-2.55,105.20550042571317,-19.378585114978694,-86.67555555980071,36.842442280827626,-114.57307501344634,79.70225904151737,87266.1796875,-44446.736387880155,-42797.25485569622,0.0,-75757.62805625585,-75757.62805625585,(105.20550042571317+36.842442280827626j),(-19.378585114978694-114.57307501344634j),(-86.67555555980071+79.70225904151737j),(87266.1796875+0j),(-44446.736387880155-75757.62805625585j),(-42797.25485569622+75643.89186906509j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede882163bcc2f9b592341
2024-03-11_00:06:10,2024-03-11,00:06:10,111.47000885009766,19.3,116.2003402709961,260.4,117.75016784667969,137.4,87266.1796875,0,87833.5390625,239.6,86911.46875,119.5,6.181,-2.55,105.20550042571317,-19.378585114978694,-86.67555555980071,36.842442280827626,-114.57307501344634,79.70225904151737,87266.1796875,-44446.736387880155,-42797.25485569622,0.0,-75757.62805625585,-75757.62805625585,(105.20550042571317+36.842442280827626j),(-19.378585114978694-114.57307501344634j),(-86.67555555980071+79.70225904151737j),(87266.1796875+0j),(-44446.736387880155-75757.62805625585j),(-42797.25485569622+75643.89186906509j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede882163bcc2f9b592342
2024-03-11_00:06:11,2024-03-11,00:06:11,112.78044128417969,19.8,118.09923553466797,260.6,120.11956787109375,137.4,87264.578125,0,87842.8125,239.6,86911.2734375,119.5,6.181,-2.55,106.11294831845586,-19.288671283699603,-88.41966401599333,38.20301212494923,-116.513418085568,81.30604898060876,87264.578125,-44451.42906036462,-42797.15867921963,0.0,-75765.62652286014,-75765.62652286014,(106.11294831845586+38.20301212494923j),(-19.288671283699603-116.513418085568j),(-88.41966401599333+81.30604898060876j),(87264.578125+0j),(-44451.42906036462-75765.62652286014j),(-42797.15867921963+75643.72187771823j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede883163bcc2f9b592343
2024-03-11_00:06:11,2024-03-11,00:06:11,112.78044128417969,19.8,118.09923553466797,260.6,120.11956787109375,137.4,87264.578125,0,87842.8125,239.6,86911.2734375,119.5,6.181,-2.55,106.11294831845586,-19.288671283699603,-88.41966401599333,38.20301212494923,-116.513418085568,81.30604898060876,87264.578125,-44451.42906036462,-42797.15867921963,0.0,-75765.62652286014,-75765.62652286014,(106.11294831845586+38.20301212494923j),(-19.288671283699603-116.513418085568j),(-88.41966401599333+81.30604898060876j),(87264.578125+0j),(-44451.42906036462-75765.62652286014j),(-42797.15867921963+75643.72187771823j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede883163bcc2f9b592344
2024-03-11_00:06:12,2024-03-11,00:06:12,110.70103454589844,19.8,116.99191284179688,260.6,118.783935546875,137.4,87282.1484375,0,87864.59375,239.6,86930.578125,119.5,6.181,-2.55,104.1564745075732,-19.107816739374446,-87.43650895267295,37.49863821107979,-115.42096434286572,80.40199155601368,87282.1484375,-44462.45110828939,-42806.66476216507,0.0,-75784.41314871756,-75784.41314871756,(104.1564745075732+37.49863821107979j),(-19.107816739374446-115.42096434286572j),(-87.43650895267295+80.40199155601368j),(87282.1484375+0j),(-44462.45110828939-75784.41314871756j),(-42806.66476216507+75660.52382244219j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede884163bcc2f9b592345
2024-03-11_00:06:12,2024-03-11,00:06:12,110.70103454589844,19.1,116.99191284179688,259.9,118.783935546875,136.9,87282.1484375,0,87864.59375,239.6,86930.578125,119.6,6.181,-2.55,104.60682216885998,-20.51648873430511,-86.73154880487897,36.22335993892209,-115.17891022404113,81.16194789377009,87282.1484375,-44462.45110828939,-42938.6520223088,0.0,-75784.41314871756,-75784.41314871756,(104.60682216885998+36.22335993892209j),(-20.51648873430511-115.17891022404113j),(-86.73154880487897+81.16194789377009j),(87282.1484375+0j),(-44462.45110828939-75784.41314871756j),(-42938.6520223088+75585.69689864482j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede884163bcc2f9b592346
2024-03-11_00:06:13,2024-03-11,00:06:13,110.70103454589844,19.1,116.99191284179688,259.9,118.783935546875,136.9,87282.1484375,0,87864.59375,239.6,86930.578125,119.6,6.181,-2.55,104.60682216885998,-20.51648873430511,-86.73154880487897,36.22335993892209,-115.17891022404113,81.16194789377009,87282.1484375,-44462.45110828939,-42938.6520223088,0.0,-75784.41314871756,-75784.41314871756,(104.60682216885998+36.22335993892209j),(-20.51648873430511-115.17891022404113j),(-86.73154880487897+81.16194789377009j),(87282.1484375+0j),(-44462.45110828939-75784.41314871756j),(-42938.6520223088+75585.69689864482j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede885163bcc2f9b592347
2024-03-11_00:06:13,2024-03-11,00:06:13,107.71595001220703,19.6,113.93385314941406,260.1,116.27490234375,136.9,87287.8359375,0,87859.609375,239.6,86930.7578125,119.6,6.181,-2.55,101.47461349306353,-19.588544863345142,-84.89954740916816,36.13348451873485,-112.23730130223625,79.44759130878046,87287.8359375,-44459.928846246345,-42938.740777487954,0.0,-75780.11405714761,-75780.11405714761,(101.47461349306353+36.13348451873485j),(-19.588544863345142-112.23730130223625j),(-84.89954740916816+79.44759130878046j),(87287.8359375+0j),(-44459.928846246345-75780.11405714761j),(-42938.740777487954+75585.85313601496j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede885163bcc2f9b592348
2024-03-11_00:06:13,2024-03-11,00:06:13,107.71595001220703,19.6,113.93385314941406,260.1,116.27490234375,136.9,87287.8359375,0,87859.609375,239.6,86930.7578125,119.6,6.181,-2.55,101.47461349306353,-19.588544863345142,-84.89954740916816,36.13348451873485,-112.23730130223625,79.44759130878046,87287.8359375,-44459.928846246345,-42938.740777487954,0.0,-75780.11405714761,-75780.11405714761,(101.47461349306353+36.13348451873485j),(-19.588544863345142-112.23730130223625j),(-84.89954740916816+79.44759130878046j),(87287.8359375+0j),(-44459.928846246345-75780.11405714761j),(-42938.740777487954+75585.85313601496j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede885163bcc2f9b592349
2024-03-11_00:06:14,2024-03-11,00:06:14,111.71876525878906,19.6,116.81489562988281,260.1,118.55043029785156,136.9,87283.4921875,0,87868.6171875,239.6,86932.5546875,119.6,6.181,-2.55,105.24549542823677,-20.08387990487889,-86.56105208064912,37.476235176621046,-115.0754431187941,81.00239988109558,87283.4921875,-44464.48710351222,-42939.62832927947,0.0,-75787.88341855851,-75787.88341855851,(105.24549542823677+37.476235176621046j),(-20.08387990487889-115.0754431187941j),(-86.56105208064912+81.00239988109558j),(87283.4921875+0j),(-44464.48710351222-75787.88341855851j),(-42939.62832927947+75587.41550971642j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede886163bcc2f9b59234a
2024-03-11_00:06:14,2024-03-11,00:06:14,111.71876525878906,19.8,116.81489562988281,260.3,118.55043029785156,136.7,87283.4921875,0,87868.6171875,239.6,86932.5546875,119.6,6.181,-2.55,105.11403776330606,-19.682069288629524,-86.27777357931633,37.84338219613412,-115.14484786362785,81.3040608457043,87283.4921875,-44464.48710351222,-42939.62832927947,0.0,-75787.88341855851,-75787.88341855851,(105.11403776330606+37.84338219613412j),(-19.682069288629524-115.14484786362785j),(-86.27777357931633+81.3040608457043j),(87283.4921875+0j),(-44464.48710351222-75787.88341855851j),(-42939.62832927947+75587.41550971642j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede886163bcc2f9b59234b
2024-03-11_00:06:15,2024-03-11,00:06:15,111.71876525878906,19.8,116.81489562988281,260.3,118.55043029785156,136.7,87283.4921875,0,87868.6171875,239.6,86932.5546875,119.6,6.181,-2.55,105.11403776330606,-19.682069288629524,-86.27777357931633,37.84338219613412,-115.14484786362785,81.3040608457043,87283.4921875,-44464.48710351222,-42939.62832927947,0.0,-75787.88341855851,-75787.88341855851,(105.11403776330606+37.84338219613412j),(-19.682069288629524-115.14484786362785j),(-86.27777357931633+81.3040608457043j),(87283.4921875+0j),(-44464.48710351222-75787.88341855851j),(-42939.62832927947+75587.41550971642j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede887163bcc2f9b59234c
