_id,Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang
65df49f979f2c46cd1cd877c,2024-02-28_21:58:01,2024-02-28,21:58:01,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a0579f2c46cd1cd877d,2024-02-28_21:58:13,2024-02-28,21:58:13,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a0f79f2c46cd1cd877e,2024-02-28_21:58:23,2024-02-28,21:58:23,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a1979f2c46cd1cd877f,2024-02-28_21:58:33,2024-02-28,21:58:33,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a2479f2c46cd1cd8780,2024-02-28_21:58:44,2024-02-28,21:58:44,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a2e79f2c46cd1cd8781,2024-02-28_21:58:54,2024-02-28,21:58:54,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a3879f2c46cd1cd8782,2024-02-28_21:59:04,2024-02-28,21:59:04,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a4379f2c46cd1cd8783,2024-02-28_21:59:15,2024-02-28,21:59:15,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a4d79f2c46cd1cd8784,2024-02-28_21:59:25,2024-02-28,21:59:25,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65df4a5879f2c46cd1cd8785,2024-02-28_21:59:36,2024-02-28,21:59:36,143.1,112.977,143.1,0.044,143.1,232.82,714.0,117.274,714.0,356.92,714.0,237.173,6.181,-2.55,-55.86074248245155,143.0999578041534,-86.47834034326037,131.74667908265934,0.10989290022120941,-114.01362485016966,-327.1878336143288,712.9686174026543,-387.0624400695751,634.6212425807714,-38.36340181667403,-38.36340181667403,(-55.86074248245155+131.74667908265934j),(143.0999578041534+0.10989290022120941j),(-86.47834034326037-114.01362485016966j),(-327.1878336143288+634.6212425807714j),(712.9686174026543-38.36340181667403j),(-387.0624400695751-599.9822226427934j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
