Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang,_id
2024-03-11_01:27:30,2024-03-11,01:27:30,115.7003402709961,19.0,120.49755859375,259.6,122.41249084472656,136.2,87308.984375,0,87876.484375,239.6,86930.1875,119.6,6.181,-2.55,109.3968209293885,-21.752116282122966,-88.35246731417851,37.668346252093244,-118.51796093547685,84.72696993465115,87308.984375,-44468.46816601589,-42938.459076267165,0.0,-75794.66897531548,75585.35725218798,(109.3968209293885+37.668346252093244j),(-21.752116282122966-118.51796093547685j),(-88.35246731417851+84.72696993465115j),(87308.984375+0j),(-44468.46816601589-75794.66897531548j),(-42938.459076267165+75585.35725218798j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb92c7efde495947f46a
2024-03-11_01:27:31,2024-03-11,01:27:31,117.81331634521484,19.0,123.50692749023438,259.6,125.08283996582031,136.2,87331.546875,0,87886.8359375,239.6,86947.953125,119.6,6.181,-2.55,111.39467905735926,-22.295364983059944,-90.2798191049214,38.35626397298877,-121.47789032721204,86.57523385066703,87331.546875,-44473.7064061523,-42947.2342622407,0.0,-75803.59733946939,75600.80437304497,(111.39467905735926+38.35626397298877j),(-22.295364983059944-121.47789032721204j),(-90.2798191049214+86.57523385066703j),(87331.546875+0j),(-44473.7064061523-75803.59733946939j),(-42947.2342622407+75600.80437304497j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb93c7efde495947f46b
2024-03-11_01:27:32,2024-03-11,01:27:32,117.81331634521484,18.9,123.50692749023438,259.7,125.08283996582031,136.3,87331.546875,0,87886.8359375,239.6,86947.953125,119.6,6.181,-2.55,111.46145366912569,-22.083312217468347,-90.43078381235242,38.16178525990382,-121.51661803878442,86.41753405992672,87331.546875,-44473.7064061523,-42947.2342622407,0.0,-75803.59733946939,75600.80437304497,(111.46145366912569+38.16178525990382j),(-22.083312217468347-121.51661803878442j),(-90.43078381235242+86.41753405992672j),(87331.546875+0j),(-44473.7064061523-75803.59733946939j),(-42947.2342622407+75600.80437304497j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb94c7efde495947f46c
2024-03-11_01:27:32,2024-03-11,01:27:32,116.52140808105469,19.2,121.34854888916016,259.7,122.91950225830078,136.4,87305.4765625,0,87888.1796875,239.6,86937.984375,119.6,6.181,-2.55,110.04006441854672,-21.697389342536546,-89.01484475736068,38.32000474887451,-119.39302162699155,84.767691063585,87305.4765625,-44474.38638902284,-42942.31027925819,0.0,-75804.75634221238,75592.13659546647,(110.04006441854672+38.32000474887451j),(-21.697389342536546-119.39302162699155j),(-89.01484475736068+84.767691063585j),(87305.4765625+0j),(-44474.38638902284-75804.75634221238j),(-42942.31027925819+75592.13659546647j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb94c7efde495947f46d
2024-03-11_01:27:33,2024-03-11,01:27:33,117.07032012939453,19.2,122.4084243774414,259.7,125.4825210571289,136.4,87328.15625,0,87890.5390625,239.6,86953.0703125,119.6,6.181,-2.55,110.55844398633752,-21.886897427588757,-90.87091085180727,38.50052361356644,-120.43581726198398,86.5351989182188,87328.15625,-44475.580312435064,-42949.76185538611,0.0,-75806.79133540066,75605.25374162955,(110.55844398633752+38.50052361356644j),(-21.886897427588757-120.43581726198398j),(-90.87091085180727+86.5351989182188j),(87328.15625+0j),(-44475.580312435064-75806.79133540066j),(-42949.76185538611+75605.25374162955j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb95c7efde495947f46e
2024-03-11_01:27:33,2024-03-11,01:27:33,117.07032012939453,19.1,122.4084243774414,259.8,125.4825210571289,136.8,87328.15625,0,87890.5390625,239.6,86953.0703125,119.6,6.181,-2.55,110.62547165220525,-21.676664043808533,-91.47282114039365,38.30750418555157,-120.47383365071293,85.8986966342933,87328.15625,-44475.580312435064,-42949.76185538611,0.0,-75806.79133540066,75605.25374162955,(110.62547165220525+38.30750418555157j),(-21.676664043808533-120.47383365071293j),(-91.47282114039365+85.8986966342933j),(87328.15625+0j),(-44475.580312435064-75806.79133540066j),(-42949.76185538611+75605.25374162955j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb95c7efde495947f46f
2024-03-11_01:27:34,2024-03-11,01:27:34,117.49056243896484,18.9,122.6781997680664,259.2,124.69851684570312,135.7,87273.59375,0,87857.5078125,239.6,86913.828125,119.6,6.181,-2.55,111.15610092391817,-22.98760234355042,-89.24582241010259,38.05723964787795,-120.5052315745188,87.09135023561488,87273.59375,-44458.865384663935,-42930.378496043515,0.0,-75778.30143076467,75571.13285857561,(111.15610092391817+38.05723964787795j),(-22.98760234355042-120.5052315745188j),(-89.24582241010259+87.09135023561488j),(87273.59375+0j),(-44458.865384663935-75778.30143076467j),(-42930.378496043515+75571.13285857561j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb96c7efde495947f470
2024-03-11_01:27:35,2024-03-11,01:27:35,116.09878540039062,18.9,121.65119934082031,259.2,123.95620727539062,135.7,87304.7109375,0,87884.7265625,239.6,86933.0,119.6,6.181,-2.55,109.83936104497074,-22.795161653412947,-88.71455684447119,37.60641882283552,-119.49642214834205,86.5729098851869,87304.7109375,-44472.638991181106,-42939.84828776694,0.0,-75801.7779746984,75587.80270667722,(109.83936104497074+37.60641882283552j),(-22.795161653412947-119.49642214834205j),(-88.71455684447119+86.5729098851869j),(87304.7109375+0j),(-44472.638991181106-75801.7779746984j),(-42939.84828776694+75587.80270667722j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb97c7efde495947f471
2024-03-11_01:27:35,2024-03-11,01:27:35,116.09878540039062,19.3,121.65119934082031,259.9,123.95620727539062,136.6,87304.7109375,0,87884.7265625,239.6,86933.0,119.6,6.181,-2.55,109.57414413854582,-21.33357255356345,-90.06344051592703,38.372319551352916,-119.76599259874168,85.16876190560525,87304.7109375,-44472.638991181106,-42939.84828776694,0.0,-75801.7779746984,75587.80270667722,(109.57414413854582+38.372319551352916j),(-21.33357255356345-119.76599259874168j),(-90.06344051592703+85.16876190560525j),(87304.7109375+0j),(-44472.638991181106-75801.7779746984j),(-42939.84828776694+75587.80270667722j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb97c7efde495947f472
2024-03-11_01:27:36,2024-03-11,01:27:36,115.3692398071289,19.1,121.11629486083984,259.5,123.47925567626953,136.4,87309.1796875,0,87871.6875,239.6,86928.015625,119.5,6.181,-2.55,109.01803765218776,-22.071691639627065,-89.4202024319971,37.75088025650512,-119.08819130788373,85.1537079602891,87309.1796875,-44466.04078530362,-42805.4029267923,0.0,-75790.5316050585,75658.29353597134,(109.01803765218776+37.75088025650512j),(-22.071691639627065-119.08819130788373j),(-89.4202024319971+85.1537079602891j),(87309.1796875+0j),(-44466.04078530362-75790.5316050585j),(-42805.4029267923+75658.29353597134j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65edfb98c7efde495947f473
