_id,Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang
65edf5202a16d69b4fce6680,2024-03-11_01:00:00,2024-03-11,01:00:00,119.10296630859375,18.5,125.04737091064453,259.3,126.97077941894531,136.3,87189.2421875,0,87727.4765625,239.6,86798.8125,119.6,6.181,-2.55,112.94816035566643,-23.217122119844266,-91.79570201042827,37.791925801375605,-122.87314683093514,87.72187822126885,87189.2421875,-44393.065181773054,-42873.56746354466,0.0,-75666.14770021556,75471.12735582422,(112.94816035566643+37.791925801375605j),(-23.217122119844266-122.87314683093514j),(-91.79570201042827+87.72187822126885j),(87189.2421875+0j),(-44393.065181773054-75666.14770021556j),(-42873.56746354466+75471.12735582422j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5212a16d69b4fce6681,2024-03-11_01:00:01,2024-03-11,01:00:01,119.10296630859375,18.8,125.04737091064453,259.5,126.97077941894531,136.7,87189.2421875,0,87727.4765625,239.6,86798.8125,119.6,6.181,-2.55,112.74873493361498,-22.78807334931282,-92.4058742796112,38.3828002414551,-122.95344112586132,87.07889081100629,87189.2421875,-44393.065181773054,-42873.56746354466,0.0,-75666.14770021556,75471.12735582422,(112.74873493361498+38.3828002414551j),(-22.78807334931282-122.95344112586132j),(-92.4058742796112+87.07889081100629j),(87189.2421875+0j),(-44393.065181773054-75666.14770021556j),(-42873.56746354466+75471.12735582422j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5212a16d69b4fce6682,2024-03-11_01:00:01,2024-03-11,01:00:01,117.80122375488281,18.4,122.90052032470703,258.8,124.8698959350586,135.8,87185.1484375,0,87735.6484375,239.6,86813.7578125,119.6,6.181,-2.55,111.77875536337413,-23.871502829866397,-89.52055297205544,37.183842829418886,-120.55989900761946,87.05493384300385,87185.1484375,-44397.20042643923,-42880.9495790976,0.0,-75673.19605410611,75484.12222926285,(111.77875536337413+37.183842829418886j),(-23.871502829866397-120.55989900761946j),(-89.52055297205544+87.05493384300385j),(87185.1484375+0j),(-44397.20042643923-75673.19605410611j),(-42880.9495790976+75484.12222926285j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5222a16d69b4fce6683,2024-03-11_01:00:02,2024-03-11,01:00:02,118.90380096435547,18.4,124.2517318725586,258.8,126.16305541992188,135.8,87187.8359375,0,87737.375,239.6,86814.65625,119.6,6.181,-2.55,112.82496442842866,-24.13395452822428,-90.44763272413776,37.53187026374876,-121.88537694145182,87.95647950827592,87187.8359375,-44398.0741253601,-42881.39335499336,0.0,-75674.6852378631,75484.90341611358,(112.82496442842866+37.53187026374876j),(-24.13395452822428-121.88537694145182j),(-90.44763272413776+87.95647950827592j),(87187.8359375+0j),(-44398.0741253601-75674.6852378631j),(-42881.39335499336+75484.90341611358j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5232a16d69b4fce6684,2024-03-11_01:00:03,2024-03-11,01:00:03,118.90380096435547,18.7,124.2517318725586,259.2,126.16305541992188,136.1,87187.8359375,0,87737.375,239.6,86814.65625,119.6,6.181,-2.55,112.62690233650568,-23.28245285783301,-90.90692983581184,38.12210321918602,-122.05089209937377,87.48169328903654,87187.8359375,-44398.0741253601,-42881.39335499336,0.0,-75674.6852378631,75484.90341611358,(112.62690233650568+38.12210321918602j),(-23.28245285783301-122.05089209937377j),(-90.90692983581184+87.48169328903654j),(87187.8359375+0j),(-44398.0741253601-75674.6852378631j),(-42881.39335499336+75484.90341611358j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5232a16d69b4fce6685,2024-03-11_01:00:03,2024-03-11,01:00:03,117.27952575683594,18.7,122.90910339355469,259.3,124.82086181640625,136.2,87203.8046875,0,87744.90625,239.6,86826.9296875,119.6,6.181,-2.55,111.08837216605511,-22.820117227157272,-90.09073369604351,37.60133948736902,-120.77205780620912,86.3939074628469,87203.8046875,-44401.88519214614,-42887.45571962151,0.0,-75681.18104393432,75495.57510778743,(111.08837216605511+37.60133948736902j),(-22.820117227157272-120.77205780620912j),(-90.09073369604351+86.3939074628469j),(87203.8046875+0j),(-44401.88519214614-75681.18104393432j),(-42887.45571962151+75495.57510778743j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5242a16d69b4fce6686,2024-03-11_01:00:04,2024-03-11,01:00:04,117.98829650878906,18.7,123.82460021972656,259.3,126.46931457519531,136.2,87204.890625,0,87751.4296875,239.6,86822.7109375,119.6,6.181,-2.55,111.7597271068709,-22.990094424268843,-91.28052133523649,37.82858059779237,-121.67163670280067,87.53487278729058,87204.890625,-44405.18627177927,-42885.37190237186,0.0,-75686.80759794828,75491.90692605358,(111.7597271068709+37.82858059779237j),(-22.990094424268843-121.67163670280067j),(-91.28052133523649+87.53487278729058j),(87204.890625+0j),(-44405.18627177927-75686.80759794828j),(-42885.37190237186+75491.90692605358j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5252a16d69b4fce6687,2024-03-11_01:00:05,2024-03-11,01:00:05,117.52874755859375,18.4,122.51144409179688,259.1,124.90209197998047,136.2,87223.359375,0,87769.7109375,239.6,86843.3515625,119.6,6.181,-2.55,111.5202092369713,-23.16635579186962,-90.14936239743331,37.097835980469235,-120.30117993096319,86.45013036607716,87223.359375,-44414.43720152961,-42895.56717121183,0.0,-75702.57542596349,75509.85384483289,(111.5202092369713+37.097835980469235j),(-23.16635579186962-120.30117993096319j),(-90.14936239743331+86.45013036607716j),(87223.359375+0j),(-44414.43720152961-75702.57542596349j),(-42895.56717121183+75509.85384483289j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5272a16d69b4fce6688,2024-03-11_01:00:07,2024-03-11,01:00:07,118.56782531738281,18.7,124.61571502685547,259.3,125.75761413574219,136.1,87213.265625,0,87755.015625,239.6,86833.25,119.6,6.181,-2.55,112.3086627506208,-23.13697803288988,-90.61478866777506,38.01438506224616,-122.44899623582067,87.20055956132785,87213.265625,-44407.0008772303,-42890.57758657516,0.0,-75689.90051805896,75501.07058745906,(112.3086627506208+38.01438506224616j),(-23.13697803288988-122.44899623582067j),(-90.61478866777506+87.20055956132785j),(87213.265625+0j),(-44407.0008772303-75689.90051805896j),(-42890.57758657516+75501.07058745906j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5272a16d69b4fce6689,2024-03-11_01:00:07,2024-03-11,01:00:07,118.56782531738281,18.7,124.61571502685547,259.3,125.75761413574219,136.1,87213.265625,0,87755.015625,239.6,86833.25,119.6,6.181,-2.55,112.3086627506208,-23.13697803288988,-90.61478866777506,38.01438506224616,-122.44899623582067,87.20055956132785,87213.265625,-44407.0008772303,-42890.57758657516,0.0,-75689.90051805896,75501.07058745906,(112.3086627506208+38.01438506224616j),(-23.13697803288988-122.44899623582067j),(-90.61478866777506+87.20055956132785j),(87213.265625+0j),(-44407.0008772303-75689.90051805896j),(-42890.57758657516+75501.07058745906j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5282a16d69b4fce668a,2024-03-11_01:00:08,2024-03-11,01:00:08,116.4308090209961,18.7,121.8250503540039,259.3,124.42401885986328,136.1,87234.9921875,0,87782.1640625,239.6,86872.484375,119.6,6.181,-2.55,110.28445895097255,-22.61884476840543,-89.65386510920888,37.32922987653129,-119.70685341741452,86.27584215885344,87234.9921875,-44420.73890324843,-42909.957086996925,0.0,-75713.31641650033,75535.18467758388,(110.28445895097255+37.32922987653129j),(-22.61884476840543-119.70685341741452j),(-89.65386510920888+86.27584215885344j),(87234.9921875+0j),(-44420.73890324843-75713.31641650033j),(-42909.957086996925+75535.18467758388j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5292a16d69b4fce668b,2024-03-11_01:00:09,2024-03-11,01:00:09,116.4308090209961,18.6,121.8250503540039,258.9,124.42401885986328,136.2,87234.9921875,0,87782.1640625,239.6,86872.484375,119.6,6.181,-2.55,110.3494427419592,-23.453998266270595,-89.80430823320984,37.13669042635241,-119.54602820286989,86.11923531937713,87234.9921875,-44420.73890324843,-42909.957086996925,0.0,-75713.31641650033,75535.18467758388,(110.3494427419592+37.13669042635241j),(-23.453998266270595-119.54602820286989j),(-89.80430823320984+86.11923531937713j),(87234.9921875+0j),(-44420.73890324843-75713.31641650033j),(-42909.957086996925+75535.18467758388j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf5292a16d69b4fce668c,2024-03-11_01:00:09,2024-03-11,01:00:09,117.09370422363281,18.4,122.48355102539062,259.0,124.81916809082031,136.1,87240.0390625,0,87788.75,239.6,86861.0546875,119.6,6.181,-2.55,111.10740705240104,-23.370963321306526,-89.9385903268546,36.96051497075856,-120.23318321172243,86.54983935804083,87240.0390625,-44424.07160999182,-42904.3114858187,0.0,-75718.99687761863,75525.24662225679,(111.10740705240104+36.96051497075856j),(-23.370963321306526-120.23318321172243j),(-89.9385903268546+86.54983935804083j),(87240.0390625+0j),(-44424.07160999182-75718.99687761863j),(-42904.3114858187+75525.24662225679j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65edf52a2a16d69b4fce668d,2024-03-11_01:00:10,2024-03-11,01:00:10,117.09370422363281,18.4,122.48355102539062,259.0,124.81916809082031,136.1,87240.0390625,0,87788.75,239.6,86861.0546875,119.6,6.181,-2.55,111.10740705240104,-23.370963321306526,-89.9385903268546,36.96051497075856,-120.23318321172243,86.54983935804083,87240.0390625,-44424.07160999182,-42904.3114858187,0.0,-75718.99687761863,75525.24662225679,(111.10740705240104+36.96051497075856j),(-23.370963321306526-120.23318321172243j),(-89.9385903268546+86.54983935804083j),(87240.0390625+0j),(-44424.07160999182-75718.99687761863j),(-42904.3114858187+75525.24662225679j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
