_id,Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE_z0z1_mag,LINE_z0z1_ang,LINE_IL1_Real,LINE_IL2_Real,LINE_IL3_Real,LINE_IL1_Imag,LINE_IL2_Imag,LINE_IL3_Imag,LINE_V1_Real,LINE_V2_Real,LINE_V3_Real,LINE_V1_Imag,LINE_V2_Imag,LINE_V3_Imag,LINE_IL1_Complex,LINE_IL2_Complex,LINE_IL3_Complex,LINE_V1_Complex,LINE_V2_Complex,LINE_V3_Complex,LINE_IN_Imag,LINE_IN_Real,LINE_IN_Mag,LINE_IN_Ang
65f9c41859aff14ba095d7cb,2024-03-19_23:58:00,2024-03-19,23:58:00,113.98593139648438,7.9,121.06330108642578,248.6,124.26461029052734,125.4,86795.0390625,0,87317.6171875,239.7,86501.1640625,119.7,6.181,-2.55,112.90414372425043,-44.173188001712106,-71.9841491298028,15.666744595411137,-112.71669056403306,101.29153787318536,86795.0390625,-44054.149916798866,-42857.75156425948,0.0,-75389.64216927288,75137.63714027581,(112.90414372425043+15.666744595411137j),(-44.173188001712106-112.71669056403306j),(-71.9841491298028+101.29153787318536j),(86795.0390625+0j),(-44054.149916798866-75389.64216927288j),(-42857.75156425948+75137.63714027581j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c41959aff14ba095d7cc,2024-03-19_23:58:01,2024-03-19,23:58:01,114.2568359375,7.8,119.64035034179688,248.7,120.70610809326172,125.1,86802.328125,0,87313.53125,239.7,86496.7578125,119.7,6.181,-2.55,113.19971346417816,-43.459504475875946,-69.40664610732918,15.506431893790213,-111.46786487871387,98.7556682279764,86802.328125,-44052.088448460934,-42855.5684495017,0.0,-75386.11438901532,75133.80973266532,(113.19971346417816+15.506431893790213j),(-43.459504475875946-111.46786487871387j),(-69.40664610732918+98.7556682279764j),(86802.328125+0j),(-44052.088448460934-75386.11438901532j),(-42855.5684495017+75133.80973266532j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c41a59aff14ba095d7cd,2024-03-19_23:58:02,2024-03-19,23:58:02,113.94876098632812,8.0,119.06455993652344,248.7,121.21196746826172,125.8,86778.4921875,0,87294.546875,239.7,86462.375,119.7,6.181,-2.55,112.83981947742595,-43.25034790266584,-70.90387067086039,15.85860241702461,-110.93140600919268,98.31064124201836,86778.4921875,-44042.51030685257,-42838.533187003486,0.0,-75369.72336410926,75103.9437381728,(112.83981947742595+15.85860241702461j),(-43.25034790266584-110.93140600919268j),(-70.90387067086039+98.31064124201836j),(86778.4921875+0j),(-44042.51030685257-75369.72336410926j),(-42838.533187003486+75103.9437381728j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c41c59aff14ba095d7ce,2024-03-19_23:58:04,2024-03-19,23:58:04,114.93498229980469,7.9,119.3871841430664,248.8,121.1825942993164,125.4,86784.4296875,0,87301.515625,239.7,86473.2421875,119.7,6.181,-2.55,113.84418762508406,-43.173339139048004,-70.19879529323525,15.79718646598414,-111.30751333667997,98.77930097186945,86784.4296875,-44046.026233731034,-42843.917429251844,0.0,-75375.74015185256,75113.3833197086,(113.84418762508406+15.79718646598414j),(-43.173339139048004-111.30751333667997j),(-70.19879529323525+98.77930097186945j),(86784.4296875+0j),(-44046.026233731034-75375.74015185256j),(-42843.917429251844+75113.3833197086j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c41d59aff14ba095d7cf,2024-03-19_23:58:05,2024-03-19,23:58:05,113.8961181640625,7.7,118.84765625,248.8,120.77297973632812,125.5,86782.328125,0,87288.21875,239.7,86473.2421875,119.7,6.181,-2.55,112.86913961332174,-42.978232596670566,-70.13322630290318,15.260506406753779,-110.80449864055451,98.32315700147801,86782.328125,-44039.31759298312,-42843.917429251844,0.0,-75364.25968914058,75113.3833197086,(112.86913961332174+15.260506406753779j),(-42.978232596670566-110.80449864055451j),(-70.13322630290318+98.32315700147801j),(86782.328125+0j),(-44039.31759298312-75364.25968914058j),(-42843.917429251844+75113.3833197086j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c41f59aff14ba095d7d0,2024-03-19_23:58:07,2024-03-19,23:58:07,113.57235717773438,8.0,119.04127502441406,248.9,121.03902435302734,125.4,86762.2578125,0,87292.953125,239.7,86454.6484375,119.7,6.181,-2.55,112.46707880482285,-42.85447904333027,-70.11562792643575,15.806217131769438,-111.05997832416028,98.66227311801796,86762.2578125,-44041.706215952116,-42834.70499463568,0.0,-75368.34732745048,75097.23220248702,(112.46707880482285+15.806217131769438j),(-42.85447904333027-111.05997832416028j),(-70.11562792643575+98.66227311801796j),(86762.2578125+0j),(-44041.706215952116-75368.34732745048j),(-42834.70499463568+75097.23220248702j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c42059aff14ba095d7d1,2024-03-19_23:58:08,2024-03-19,23:58:08,115.12589263916016,7.7,121.30008697509766,248.7,123.44287872314453,125.4,86786.984375,0,87303.75,239.7,86465.640625,119.7,6.181,-2.55,114.08782545758164,-44.06240585018353,-71.5081355040983,15.425279197596897,-113.01422694006258,100.62172163198404,86786.984375,-44047.15353764049,-42840.151169217585,0.0,-75377.66930128595,75106.78036296213,(114.08782545758164+15.425279197596897j),(-44.06240585018353-113.01422694006258j),(-71.5081355040983+100.62172163198404j),(86786.984375+0j),(-44047.15353764049-75377.66930128595j),(-42840.151169217585+75106.78036296213j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c42259aff14ba095d7d2,2024-03-19_23:58:10,2024-03-19,23:58:10,113.90618133544922,8.0,119.65367889404297,248.9,120.92130279541016,125.5,86780.7890625,0,87296.2734375,239.7,86468.953125,119.7,6.181,-2.55,112.7976542087824,-43.07494248167705,-70.2193579417122,15.852676474973995,-111.63132267907139,98.44390910560678,86780.7890625,-44043.381405328066,-42841.79237605677,0.0,-75371.2140704896,75109.65770485371,(112.7976542087824+15.852676474973995j),(-43.07494248167705-111.63132267907139j),(-70.2193579417122+98.44390910560678j),(86780.7890625+0j),(-44043.381405328066-75371.2140704896j),(-42841.79237605677+75109.65770485371j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c42359aff14ba095d7d3,2024-03-19_23:58:11,2024-03-19,23:58:11,113.63799285888672,8.1,118.64329528808594,248.7,121.25614929199219,125.7,86762.8984375,0,87281.640625,239.7,86459.0546875,119.7,6.181,-2.55,112.50430134572308,-43.097323000766146,-70.75796024222733,16.01173318873136,-110.53891743175156,98.47012137436042,86762.8984375,-44035.99874720771,-42836.88810939346,0.0,-75358.58016528425,75101.05961009752,(112.50430134572308+16.01173318873136j),(-43.097323000766146-110.53891743175156j),(-70.75796024222733+98.47012137436042j),(86762.8984375+0j),(-44035.99874720771-75358.58016528425j),(-42836.88810939346+75101.05961009752j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
65f9c42559aff14ba095d7d4,2024-03-19_23:58:13,2024-03-19,23:58:13,115.6520004272461,7.9,119.8761215209961,248.9,121.43734741210938,125.7,86780.0234375,0,87288.21875,239.7,86459.0546875,119.7,6.181,-2.55,114.55440086562818,-43.15502111737001,-70.86369681273597,15.89573669701073,-111.83885131418317,98.61726938281134,86780.0234375,-44039.31759298312,-42836.88810939346,0.0,-75364.25968914058,75101.05961009752,(114.55440086562818+15.89573669701073j),(-43.15502111737001-111.83885131418317j),(-70.86369681273597+98.61726938281134j),(86780.0234375+0j),(-44039.31759298312-75364.25968914058j),(-42836.88810939346+75101.05961009752j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82
