Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang,_id
2024-03-11_00:07:41,2024-03-11,00:07:41,111.16374969482422,19.6,116.44119262695312,260.2,117.88821411132812,137.3,87259.2734375,0,87826.0703125,239.6,86906.1015625,119.6,6.181,-2.55,104.72263887979074,-19.81939707932924,-86.6377691465785,37.29005433445322,-114.74207092343714,79.9470323630747,87259.2734375,-44442.95694820437,-42926.56202333998,0.0,-75751.18615728896,-75751.18615728896,(104.72263887979074+37.29005433445322j),(-19.81939707932924-114.74207092343714j),(-86.6377691465785+79.9470323630747j),(87259.2734375+0j),(-44442.95694820437-75751.18615728896j),(-42926.56202333998+75564.41465165935j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8dd92db7f96d37007a3
2024-03-11_00:07:42,2024-03-11,00:07:42,111.16374969482422,19.6,116.44119262695312,260.2,117.88821411132812,137.3,87259.2734375,0,87826.0703125,239.6,86906.1015625,119.6,6.181,-2.55,104.72263887979074,-19.81939707932924,-86.6377691465785,37.29005433445322,-114.74207092343714,79.9470323630747,87259.2734375,-44442.95694820437,-42926.56202333998,0.0,-75751.18615728896,-75751.18615728896,(104.72263887979074+37.29005433445322j),(-19.81939707932924-114.74207092343714j),(-86.6377691465785+79.9470323630747j),(87259.2734375+0j),(-44442.95694820437-75751.18615728896j),(-42926.56202333998+75564.41465165935j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8de92db7f96d37007a4
2024-03-11_00:07:42,2024-03-11,00:07:42,112.00875091552734,19.6,117.60781860351562,260.2,119.52828979492188,137.3,87261.6328125,0,87828.625,239.6,86915.3046875,119.6,6.181,-2.55,105.51867857736848,-20.017967902514023,-87.8430847036021,37.57351132037896,-115.89167337531784,81.05926554721928,87261.6328125,-44444.24970633615,-42931.107832080896,0.0,-75753.38961017826,-75753.38961017826,(105.51867857736848+37.57351132037896j),(-20.017967902514023-115.89167337531784j),(-87.8430847036021+81.05926554721928j),(87261.6328125+0j),(-44444.24970633615-75753.38961017826j),(-42931.107832080896+75572.41672218245j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8de92db7f96d37007a5
2024-03-11_00:07:43,2024-03-11,00:07:43,112.00875091552734,19.5,117.60781860351562,260.4,119.52828979492188,137.1,87261.6328125,0,87828.625,239.6,86915.3046875,119.6,6.181,-2.55,105.58409597838511,-19.613308512523044,-87.55959989346992,37.38928934980994,-115.96084307157321,81.36540129437257,87261.6328125,-44444.24970633615,-42931.107832080896,0.0,-75753.38961017826,-75753.38961017826,(105.58409597838511+37.38928934980994j),(-19.613308512523044-115.96084307157321j),(-87.55959989346992+81.36540129437257j),(87261.6328125+0j),(-44444.24970633615-75753.38961017826j),(-42931.107832080896+75572.41672218245j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8df92db7f96d37007a6
2024-03-11_00:07:43,2024-03-11,00:07:43,112.00875091552734,19.5,117.60781860351562,260.4,119.52828979492188,137.1,87261.6328125,0,87828.625,239.6,86915.3046875,119.6,6.181,-2.55,105.58409597838511,-19.613308512523044,-87.55959989346992,37.38928934980994,-115.96084307157321,81.36540129437257,87261.6328125,-44444.24970633615,-42931.107832080896,0.0,-75753.38961017826,-75753.38961017826,(105.58409597838511+37.38928934980994j),(-19.613308512523044-115.96084307157321j),(-87.55959989346992+81.36540129437257j),(87261.6328125+0j),(-44444.24970633615-75753.38961017826j),(-42931.107832080896+75572.41672218245j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8df92db7f96d37007a7
2024-03-11_00:07:44,2024-03-11,00:07:44,111.8236083984375,19.0,117.05178833007812,259.7,119.26483917236328,136.9,87252.5,0,87834.25,239.6,86914.2734375,119.6,6.181,-2.55,105.73129893126642,-20.929119036748112,-87.08268649090067,36.406205811019106,-115.1655032013278,81.49053672873426,87252.5,-44447.09614625933,-42930.59845453098,0.0,-75758.24124956755,-75758.24124956755,(105.73129893126642+36.406205811019106j),(-20.929119036748112-115.1655032013278j),(-87.08268649090067+81.49053672873426j),(87252.5+0j),(-44447.09614625933-75758.24124956755j),(-42930.59845453098+75571.5200555364j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8e092db7f96d37007a8
2024-03-11_00:07:44,2024-03-11,00:07:44,111.8236083984375,19.0,117.05178833007812,259.7,119.26483917236328,136.9,87252.5,0,87834.25,239.6,86914.2734375,119.6,6.181,-2.55,105.73129893126642,-20.929119036748112,-87.08268649090067,36.406205811019106,-115.1655032013278,81.49053672873426,87252.5,-44447.09614625933,-42930.59845453098,0.0,-75758.24124956755,-75758.24124956755,(105.73129893126642+36.406205811019106j),(-20.929119036748112-115.1655032013278j),(-87.08268649090067+81.49053672873426j),(87252.5+0j),(-44447.09614625933-75758.24124956755j),(-42930.59845453098+75571.5200555364j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8e092db7f96d37007a9
2024-03-11_00:07:45,2024-03-11,00:07:45,110.87602233886719,19.0,116.58805847167969,259.7,118.65628051757812,136.9,87269.5625,0,87849.90625,239.6,86930.578125,119.6,6.181,-2.55,104.83533870996374,-20.84620311085088,-86.63833991806547,36.09770196641547,-114.70924633200653,81.0747245601731,87269.5625,-44455.01873737886,-42938.6520223088,0.0,-75771.74497920107,-75771.74497920107,(104.83533870996374+36.09770196641547j),(-20.84620311085088-114.70924633200653j),(-86.63833991806547+81.0747245601731j),(87269.5625+0j),(-44455.01873737886-75771.74497920107j),(-42938.6520223088+75585.69689864482j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8e192db7f96d37007aa
2024-03-11_00:07:45,2024-03-11,00:07:45,110.87602233886719,19.2,116.58805847167969,259.8,118.65628051757812,136.5,87269.5625,0,87849.90625,239.6,86930.578125,119.5,6.181,-2.55,104.70869552274927,-20.645966058821763,-86.07022484709579,36.4634256702955,-114.74545508948833,81.67759362907653,87269.5625,-44455.01873737886,-42806.66476216507,0.0,-75771.74497920107,-75771.74497920107,(104.70869552274927+36.4634256702955j),(-20.645966058821763-114.74545508948833j),(-86.07022484709579+81.67759362907653j),(87269.5625+0j),(-44455.01873737886-75771.74497920107j),(-42806.66476216507+75660.52382244219j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8e192db7f96d37007ab
2024-03-11_00:07:46,2024-03-11,00:07:46,110.87602233886719,19.2,116.58805847167969,259.8,118.65628051757812,136.5,87269.5625,0,87849.90625,239.6,86930.578125,119.5,6.181,-2.55,104.70869552274927,-20.645966058821763,-86.07022484709579,36.4634256702955,-114.74545508948833,81.67759362907653,87269.5625,-44455.01873737886,-42806.66476216507,0.0,-75771.74497920107,-75771.74497920107,(104.70869552274927+36.4634256702955j),(-20.645966058821763-114.74545508948833j),(-86.07022484709579+81.67759362907653j),(87269.5625+0j),(-44455.01873737886-75771.74497920107j),(-42806.66476216507+75660.52382244219j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8e292db7f96d37007ac
2024-03-11_00:07:46,2024-03-11,00:07:46,110.25627899169922,19.0,115.8646011352539,260.0,117.92424774169922,136.6,87251.15625,0,87821.65625,239.6,86909.0390625,119.6,6.181,-2.55,104.24935986311233,-20.119676843242587,-85.68077150242495,35.895933268640896,-114.10435749766512,81.02427784432821,87251.15625,-44440.72328354244,-42928.012977573075,0.0,-75747.37896804597,-75747.37896804597,(104.24935986311233+35.895933268640896j),(-20.119676843242587-114.10435749766512j),(-85.68077150242495+81.02427784432821j),(87251.15625+0j),(-44440.72328354244-75747.37896804597j),(-42928.012977573075+75566.96879301478j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8e292db7f96d37007ad
2024-03-11_00:07:46,2024-03-11,00:07:46,110.25627899169922,19.0,115.8646011352539,260.0,117.92424774169922,136.6,87251.15625,0,87821.65625,239.6,86909.0390625,119.6,6.181,-2.55,104.24935986311233,-20.119676843242587,-85.68077150242495,35.895933268640896,-114.10435749766512,81.02427784432821,87251.15625,-44440.72328354244,-42928.012977573075,0.0,-75747.37896804597,-75747.37896804597,(104.24935986311233+35.895933268640896j),(-20.119676843242587-114.10435749766512j),(-85.68077150242495+81.02427784432821j),(87251.15625+0j),(-44440.72328354244-75747.37896804597j),(-42928.012977573075+75566.96879301478j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8e292db7f96d37007ae
2024-03-11_00:07:47,2024-03-11,00:07:47,111.82179260253906,19.0,117.34031677246094,260.0,118.89747619628906,136.6,87269.1171875,0,87843.515625,239.6,86930.5078125,119.6,6.181,-2.55,105.72958206251496,-20.375932174398184,-86.38789464659816,36.40561464569958,-115.55765369842796,81.69297096063639,87269.1171875,-44451.784865355025,-42938.61729202131,0.0,-75766.2329777838,-75766.2329777838,(105.72958206251496+36.40561464569958j),(-20.375932174398184-115.55765369842796j),(-86.38789464659816+81.69297096063639j),(87269.1171875+0j),(-44451.784865355025-75766.2329777838j),(-42938.61729202131+75585.63576228259j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede8e392db7f96d37007af
