Timestamp,DATE,TIME,LINE_IL1,LINE_IL1-Ang,LINE_IL2,LINE_IL2-Ang,LINE_IL3,LINE_IL3-Ang,LINE_UL1,LINE_UL1-Ang,LINE_UL2,LINE_UL2-Ang,LINE_UL3,LINE_UL3-Ang,LINE1_z0z1_mag,LINE1_z0z1_ang,LINE1_IL1_Real,LINE1_IL2_Real,LINE1_IL3_Real,LINE1_IL1_Imag,LINE1_IL2_Imag,LINE1_IL3_Imag,LINE1_V1_Real,LINE1_V2_Real,LINE1_V3_Real,LINE1_V1_Imag,LINE1_V2_Imag,LINE1_V3_Imag,LINE1_IL1_Complex,LINE1_IL2_Complex,LINE1_IL3_Complex,LINE1_V1_Complex,LINE1_V2_Complex,LINE1_V3_Complex,LINE1_IN_Imag,LINE1_IN_Real,LINE1_IN_Mag,LINE1_IN_Ang,_id
2024-03-11_00:11:13,2024-03-11,00:11:13,111.34562683105469,0,116.74530792236328,0,118.33036804199219,0,87221.890625,0,87799.734375,0,86876.4453125,0,6.181,-2.55,111.34562683105469,116.74530792236328,118.33036804199219,0.0,0.0,0.0,87221.890625,87799.734375,86876.4453125,0.0,0.0,0.0,(111.34562683105469+0j),(116.74530792236328+0j),(118.33036804199219+0j),(87221.890625+0j),(87799.734375+0j),(86876.4453125+0j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b16f7f449762d1d135
2024-03-11_00:11:13,2024-03-11,00:11:13,111.34562683105469,19.3,116.74530792236328,260.0,118.33036804199219,136.9,87221.890625,0,87799.734375,239.6,86876.4453125,119.5,6.181,-2.55,105.08810855778057,-20.27260997188303,-86.40037092291254,36.801332233339195,-114.97168436974091,80.85203711308984,87221.890625,-44429.63007461959,-42780.00848991541,0.0,-75728.47105120383,-75728.47105120383,(105.08810855778057+36.801332233339195j),(-20.27260997188303-114.97168436974091j),(-86.40037092291254+80.85203711308984j),(87221.890625+0j),(-44429.63007461959-75728.47105120383j),(-42780.00848991541+75613.40902074557j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b16f7f449762d1d136
2024-03-11_00:11:14,2024-03-11,00:11:14,110.51508331298828,19.2,115.9915771484375,259.9,117.8563461303711,137.0,87233.84375,0,87811.5703125,239.6,86883.15625,119.6,6.181,-2.55,104.3678332356127,-20.34106313876772,-86.19467500175709,36.34472486317761,-114.1940765528869,80.37783478387128,87233.84375,-44435.61945862462,-42915.22837285438,0.0,-75738.67970908545,-75738.67970908545,(104.3678332356127+36.34472486317761j),(-20.34106313876772-114.1940765528869j),(-86.19467500175709+80.37783478387128j),(87233.84375+0j),(-44435.61945862462-75738.67970908545j),(-42915.22837285438+75544.46381878469j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b26f7f449762d1d137
2024-03-11_00:11:15,2024-03-11,00:11:15,113.4343032836914,19.2,118.03506469726562,259.9,120.31207275390625,137.0,87262.6015625,0,87831.625,239.6,86921.046875,119.6,6.181,-2.55,107.12467559547008,-20.699422860015446,-87.99067975804428,37.30475894603505,-116.20589654294635,82.05263631388407,87262.6015625,-44445.767807628516,-42933.94413889292,0.0,-75755.97715118589,-75755.97715118589,(107.12467559547008+37.30475894603505j),(-20.699422860015446-116.20589654294635j),(-87.99067975804428+82.05263631388407j),(87262.6015625+0j),(-44445.767807628516-75755.97715118589j),(-42933.94413889292+75577.40952509797j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b36f7f449762d1d138
2024-03-11_00:11:15,2024-03-11,00:11:15,113.4343032836914,19.0,118.03506469726562,259.9,120.31207275390625,136.9,87262.6015625,0,87831.625,239.6,86921.046875,119.5,6.181,-2.55,107.25424086489681,-20.699422860015446,-87.84733694695379,36.9305967722048,-116.20589654294635,82.20608396992037,87262.6015625,-44445.767807628516,-42801.97135010784,0.0,-75755.97715118589,-75755.97715118589,(107.25424086489681+36.9305967722048j),(-20.699422860015446-116.20589654294635j),(-87.84733694695379+82.20608396992037j),(87262.6015625+0j),(-44445.767807628516-75755.97715118589j),(-42801.97135010784+75652.22824471527j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b36f7f449762d1d139
2024-03-11_00:11:16,2024-03-11,00:11:16,111.1646499633789,18.9,117.28280639648438,259.4,119.28269958496094,136.3,87270.328125,0,87861.4765625,239.6,86936.578125,119.6,6.181,-2.55,105.1712477495418,-21.5743306402835,-86.23747287532767,36.008166411038694,-115.28141625456793,82.41031908901435,87270.328125,-44460.873706165294,-42941.615673508306,0.0,-75781.72453188933,-75781.72453188933,(105.1712477495418+36.008166411038694j),(-21.5743306402835-115.28141625456793j),(-86.23747287532767+82.41031908901435j),(87270.328125+0j),(-44460.873706165294-75781.72453188933j),(-42941.615673508306+75590.91386822185j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b46f7f449762d1d13a
2024-03-11_00:11:17,2024-03-11,00:11:17,113.70114135742188,18.9,118.24563598632812,259.4,119.2506103515625,136.3,87274.1015625,0,87861.84375,239.6,86938.9453125,119.6,6.181,-2.55,107.57098512023792,-21.75144444374515,-86.21427341384317,36.829780154678915,-116.22781549363252,82.38814920207443,87274.1015625,-44461.05951543806,-42942.78492652061,0.0,-75782.04123612725,-75782.04123612725,(107.57098512023792+36.829780154678915j),(-21.75144444374515-116.22781549363252j),(-86.21427341384317+82.38814920207443j),(87274.1015625+0j),(-44461.05951543806-75782.04123612725j),(-42942.78492652061+75592.97212575028j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b56f7f449762d1d13b
2024-03-11_00:11:17,2024-03-11,00:11:17,113.70114135742188,19.7,118.24563598632812,260.3,119.2506103515625,136.9,87274.1015625,0,87861.84375,239.6,86938.9453125,119.6,6.181,-2.55,107.04627549952251,-19.923133843605605,-87.07229714271114,38.32811562887951,-116.5551335963414,81.48081454865067,87274.1015625,-44461.05951543806,-42942.78492652061,0.0,-75782.04123612725,-75782.04123612725,(107.04627549952251+38.32811562887951j),(-19.923133843605605-116.5551335963414j),(-87.07229714271114+81.48081454865067j),(87274.1015625+0j),(-44461.05951543806-75782.04123612725j),(-42942.78492652061+75592.97212575028j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b56f7f449762d1d13c
2024-03-11_00:11:18,2024-03-11,00:11:18,111.36358642578125,19.1,116.61708068847656,259.4,119.95677947998047,136.4,87276.3984375,0,87856.3515625,239.6,86931.59375,119.5,6.181,-2.55,105.23289984700317,-21.45186949715785,-86.86932428806128,36.440158773022,-114.62705092332943,82.72453953298448,87276.3984375,-44458.28028312417,-42807.1648798433,0.0,-75777.30414933464,-75777.30414933464,(105.23289984700317+36.440158773022j),(-21.45186949715785-114.62705092332943j),(-86.86932428806128+82.72453953298448j),(87276.3984375+0j),(-44458.28028312417-75777.30414933464j),(-42807.1648798433+75661.40777744589j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b66f7f449762d1d13d
2024-03-11_00:11:19,2024-03-11,00:11:19,113.75039672851562,19.1,118.63640594482422,259.4,119.75941467285156,136.4,87259.0234375,0,87832.515625,239.6,86904.625,119.5,6.181,-2.55,107.48831364609839,-21.82332710538938,-86.72639824830048,37.22116582554442,-116.61191709922403,82.58843290474276,87259.0234375,-44446.21849394969,-42793.88483195676,0.0,-75756.74532742253,-75756.74532742253,(107.48831364609839+37.22116582554442j),(-21.82332710538938-116.61191709922403j),(-86.72639824830048+82.58843290474276j),(87259.0234375+0j),(-44446.21849394969-75756.74532742253j),(-42793.88483195676+75637.93537227101j),-2.63909674692661,-24.3725335851725,24.515000000000004,-173.82,65ede9b76f7f449762d1d13e
